순번,년도,모델명,제조사,유종,배기량,복합연비,등급,평균주행거리(km),전비(km/kWh),에너지단가(원/kWh),1년 유지비(원)
119,2023,GV60 4WD 20인치,현대,전기,0.0,4.3,3등급,15000,4.9,347.2,1062857.1428571427
120,2023,GV60 4WD 무선충전,현대,전기,0.0,4.1,4등급,15000,4.9,347.2,1062857.1428571427
121,2023,GV60 RWD 19인치,현대,전기,0.0,5.1,2등급,15000,4.9,347.2,1062857.1428571427
122,2023,GV60 성능형 4WD 21인치,현대,전기,0.0,4.1,4등급,15000,4.9,347.2,1062857.1428571427
123,2023,GV60 성능형 4WD 무선충전,현대,전기,0.0,3.9,4등급,15000,4.9,347.2,1062857.1428571427
124,2023,GV70 Electrified 19인치,현대,전기,0.0,4.6,3등급,15000,4.6,347.2,1132173.9130434783
125,2023,GV70 Electrified 20인치,현대,전기,0.0,4.3,3등급,15000,4.3,347.2,1211162.7906976745
126,2023,GV70 Electrified 무선충전,현대,전기,0.0,4.2,3등급,15000,4.2,347.2,1239999.9999999998
127,2023,ID.4 Pro,폭스바겐,전기,0.0,4.7,3등급,15000,4.7,347.2,1108085.1063829786
128,2023,ID.4 Pro,폭스바겐,전기,0.0,4.9,3등급,15000,4.9,347.2,1062857.1428571427
129,2023,LEAF,닛산,전기,0.0,5.1,2등급,15000,5.1,347.2,1021176.4705882354
130,2023,LEAF,닛산,전기,0.0,5.2,2등급,15000,5.2,347.2,1001538.4615384614
131,2023,LEAF PLUS,닛산,전기,0.0,4.8,3등급,15000,4.8,347.2,1085000.0
132,2023,LSEV,코리아에어카고,전기,0.0,4.4,3등급,15000,4.4,347.2,1183636.3636363635
133,2023,MASADA 2밴,DFSK,전기,0.0,3.8,4등급,15000,3.8,347.2,1370526.3157894737
134,2023,MASADA 3세대 2밴,DFSK,전기,0.0,3.8,4등급,15000,3.8,347.2,1370526.3157894737
135,2023,MASADA 3세대 4밴,DFSK,전기,0.0,3.8,4등급,15000,3.8,347.2,1370526.3157894737
136,2023,MASADA 4밴,DFSK,전기,0.0,3.8,4등급,15000,3.8,347.2,1370526.3157894737
137,2023,MASADA QQ 2밴,체리자동차,전기,0.0,6.3,초소형,15000,6.3,347.2,826666.6666666667
138,2023,MASADA 픽업,DFSK,전기,0.0,3.5,4등급,15000,3.5,347.2,1487999.9999999998
139,2023,MG ZS EV,(주) 케이모터,전기,0.0,4.3,3등급,15000,4.3,347.2,1211162.7906976745
140,2023,MINI Cooper SE,MINI,전기,0.0,4.5,3등급,15000,4.5,347.2,1157333.3333333333
141,2023,Mercedes-AMG EQE 53 4MATIC +,벤츠,전기,0.0,3.6,4등급,15000,3.6,347.2,1446666.6666666667
142,2023,Mercedes-AMG EQE 53 4MATIC + SUV,벤츠,전기,0.0,3.5,4등급,15000,3.5,347.2,1487999.9999999998
143,2023,Mercedes-AMG EQE 53 4MATIC +(Race Start +),벤츠,전기,0.0,3.6,4등급,15000,3.6,347.2,1446666.6666666667
144,2023,Mercedes-AMG EQE53 4MATIC +,벤츠,전기,0.0,3.3,5등급,15000,3.3,347.2,1578181.8181818184
145,2023,Mercedes-AMG EQS 53 4MATIC +,벤츠,전기,0.0,3.2,5등급,15000,3.2,347.2,1627500.0
146,2023,Mercedes-AMG EQS53 4MATIC +,벤츠,전기,0.0,3.1,5등급,15000,3.1,347.2,1680000.0
147,2023,Mercedes-AMG EQS53 4MATIC +,벤츠,전기,0.0,3.2,5등급,15000,3.2,347.2,1627500.0
148,2023,Mercedes-Benz EQA250,벤츠,전기,0.0,4.0,4등급,15000,4.0,347.2,1302000.0
149,2023,Mercedes-Benz EQA250,벤츠,전기,0.0,4.1,4등급,15000,4.1,347.2,1270243.9024390245
150,2023,Mercedes-Benz EQA250,벤츠,전기,0.0,4.9,3등급,15000,4.9,347.2,1062857.1428571427
151,2023,Mercedes-Benz EQB300 4MATIC,벤츠,전기,0.0,4.1,4등급,15000,4.1,347.2,1270243.9024390245
152,2023,Mercedes-Benz EQB300 4MATIC (5 Seater),벤츠,전기,0.0,4.1,4등급,15000,4.1,347.2,1270243.9024390245
153,2023,Mercedes-Benz EQC400 4MATIC,벤츠,전기,0.0,3.1,5등급,15000,3.1,347.2,1680000.0
154,2023,Mercedes-Benz EQE 350 +,벤츠,전기,0.0,4.6,3등급,15000,4.6,347.2,1132173.9130434783
155,2023,Mercedes-Benz EQE 350 4MATIC,벤츠,전기,0.0,4.0,4등급,15000,4.0,347.2,1302000.0
156,2023,Mercedes-Benz EQE300,벤츠,전기,0.0,4.2,3등급,15000,4.2,347.2,1239999.9999999998
157,2023,Mercedes-Benz EQE350 +,벤츠,전기,0.0,4.3,3등급,15000,4.3,347.2,1211162.7906976745
158,2023,Mercedes-Benz EQE350 4MATIC,벤츠,전기,0.0,4.0,4등급,15000,4.0,347.2,1302000.0
159,2023,Mercedes-Benz EQE350 4MATIC SUV,벤츠,전기,0.0,3.9,4등급,15000,3.9,347.2,1335384.6153846153
160,2023,Mercedes-Benz EQE500 4MATIC SUV,벤츠,전기,0.0,3.8,4등급,15000,3.8,347.2,1370526.3157894737
161,2020,파워프라자 봉고3ev PEACE 더블캡,(주)파워프라자,전기,0.0,2.0,고속,15000,2.0,255.7,1917750.0
162,2020,"쏘울 전기차 (도심형, 39.2kWh)",기아,전기,0.0,5.6,고속,15000,5.6,255.7,684910.7142857143
163,2020,Peugeot e-2008 SUV,PSA Automobiles,전기,0.0,4.3,고속,15000,4.3,255.7,891976.7441860465
164,2020,Danigo(다니고),(주)대창모터스,전기,0.0,5.3,저속,15000,5.3,255.7,723679.2452830189
165,2020,Model 3 Long Range,테슬라코리아 유한회사,전기,0.0,5.0,고속,15000,5.1,255.7,752058.8235294118
166,2020,아이오닉 전기차(PE),현대,전기,0.0,6.3,고속,15000,6.3,255.7,608809.5238095238
167,2020,Model S 100D,테슬라코리아 유한회사,전기,0.0,4.0,고속,15000,4.6,255.7,833804.3478260869
168,2020,DS3 CROSSBACK E-TENSE,PSA Automobiles,전기,0.0,4.3,고속,15000,4.3,255.7,891976.7441860465
169,2020,Model X Long Range,테슬라코리아 유한회사,전기,0.0,3.9,고속,15000,3.9,255.7,983461.5384615384
170,2020,재규어 I-PACE EV400,재규어,전기,0.0,3.5,고속,15000,3.5,255.7,1095857.1428571427
171,2020,ZOE,르노삼성,전기,0.0,4.8,고속,15000,4.8,255.7,799062.5
172,2020,D2P,쎄미시스코,전기,0.0,5.2,고속,15000,5.2,255.7,737596.1538461538
173,2020,제인모터스칼마토EV1톤내장탑차,제인모터스,전기,0.0,2.3,고속,15000,2.3,255.7,1667608.6956521738
174,2020,파워프라자 라보 ev PEACE,한국지엠,전기,0.0,3.5,고속,15000,3.5,255.7,1095857.1428571427
175,2020,BMW i3 94Ah,BMW,전기,0.0,5.4,고속,15000,5.4,255.7,710277.7777777776
176,2020,e-tron Sportback 50 uattro,아우디,전기,0.0,3.0,고속,15000,3.0,255.7,1278500.0
177,2020,LEAF PLUS,닛산,전기,0.0,4.8,고속,15000,4.8,255.7,799062.5
178,2020,Model 3 Performance,테슬라코리아 유한회사,전기,0.0,4.7,고속,15000,5.1,255.7,752058.8235294118
179,2020,마이브 M1,투데이션샤인,전기,0.0,5.5,고속,15000,5.5,255.7,697363.6363636364
180,2020,CHEVROLET BOLT EV,GM,전기,0.0,5.4,고속,15000,5.4,255.7,710277.7777777776
181,2020,LEAF,닛산,전기,0.0,5.2,고속,15000,5.2,255.7,737596.1538461538
182,2020,마스타(MASTA)VAN,마스타전기차(주),전기,0.0,6.1,고속,15000,6.1,255.7,628770.4918032787
183,2020,타이칸 4S (High),포르쉐,전기,0.0,2.9,고속,15000,2.9,255.7,1322586.2068965517
184,2020,코나 전기자동차 (기본형),현대,전기,0.0,5.6,고속,15000,5.6,255.7,684910.7142857143
185,2020,BMW i3 120Ah,BMW,전기,0.0,5.6,고속,15000,5.6,255.7,684910.7142857143
186,2020,"타이칸 4S (High, 5인승)",포르쉐,전기,0.0,2.9,고속,15000,2.9,255.7,1322586.2068965517
187,2020,"니로 전기차 (경제형, 39.2kWh)",기아,전기,0.0,5.5,고속,15000,5.3,255.7,723679.2452830189
188,2020,Peugeot e-208,PSA Automobiles,전기,0.0,4.4,고속,15000,4.4,255.7,871704.5454545454
189,2020,SM3 Z.E.,르노삼성,전기,0.0,4.5,고속,15000,4.5,255.7,852333.3333333334
190,2020,e-tron 50 uattro,아우디,전기,0.0,2.9,고속,15000,2.9,255.7,1322586.2068965517
191,2020,플러스(PLUS),(주) 한신자동차,전기,0.0,2.5,고속,15000,2.5,255.7,1534200.0
192,2020,"니로 전기차 (기본형, 64kWh)",기아,전기,0.0,5.3,고속,15000,5.3,255.7,723679.2452830189
193,2020,DANIGO 3,(주)대창모터스,전기,0.0,6.1,고속,15000,6.1,255.7,628770.4918032787
194,2020,봉고 전기차,기아,전기,0.0,3.1,고속,15000,3.1,255.7,1237258.064516129
195,2020,CEVO-C,Supa Motor Limited,전기,0.0,6.4,고속,15000,6.4,255.7,599296.875
196,2020,D2C,쎄미시스코,전기,0.0,5.2,고속,15000,5.2,255.7,737596.1538461538
197,2020,TWIZY Cargo(1인승),르노삼성,전기,0.0,7.9,고속,15000,7.9,255.7,485506.329113924
198,2020,SMART EV Z,쎄미시스코,전기,0.0,5.8,고속,15000,5.8,255.7,661293.1034482758
199,2020,Model S 75D,테슬라코리아 유한회사,전기,0.0,4.3,고속,15000,4.6,255.7,833804.3478260869
200,2020,파워프라자 봉고3ev PEACE,(주)파워프라자,전기,0.0,2.4,고속,15000,2.4,255.7,1598125.0
201,2020,Model S Long Range,테슬라코리아 유한회사,전기,0.0,4.3,고속,15000,4.6,255.7,833804.3478260869
