년도,모델명,제조사,유종,배기량,복합연비,등급,CO2 배출량,평균주행거리(km),경유 단가(원/L),1년 유지비(원)
2022,"스포티지 1.6디젤 2WD (PE/17""타이어)",기아,경유,1598,16.3,1등급,114,15000,"1,474.20","1,356,625"
2022,Peugeot 508 SW 2.0 BlueHDi,PSA Automobiles,경유,1997,13.3,3등급,143,15000,"1,474.20","1,662,631"
2022,"스포티지 2.0디젤 2WD 8AT (PE/17""타이어)",기아,경유,1995,14.4,2등급,131,15000,"1,474.20","1,535,625"
2022,CLS400 d 4Matic,벤츠,경유,2925,11.7,3등급,165,15000,"1,474.20","1,890,000"
2022,봉고 덤프 4WD 슈퍼캡(유로6) (15),기아,경유,2497,8.5,5등급,230,15000,"1,474.20","2,601,529"
2022,BMW 320d(MY22),BMW,경유,1995,15.1,2등급,125,15000,"1,474.20","1,464,437"
2022,스타리아 라운지 2.2디젤 2WD 7인 18인치 (빌트인캠),현대,경유,2199,10.8,4등급,180,15000,"1,474.20","2,047,500"
2022,싼타페 2.0 디젤 2WD 7인 (18'' 타이어),현대,경유,1995,13.8,2등급,138,15000,"1,474.20","1,602,391"
2022,A8 50 TDI uattro,아우디,경유,2967,11.3,4등급,171,15000,"1,474.20","1,956,902"
2022,"코나 1.6디젤 2WD (18"" 타이어)",현대,경유,1598,16.8,1등급,110,15000,"1,474.20","1,316,250"
2022,티볼리 1.6 디젤 AWD 6AT SCR,쌍용,경유,1597,13.6,3등급,139,15000,"1,474.20","1,625,955"
2022,BMW X7 xDrive30d,BMW,경유,2993,9.5,4등급,206,15000,"1,474.20","2,327,684"
2022,Q7 50 TDI uattro,아우디,경유,2967,11,4등급,177,15000,"1,474.20","2,010,272"
2022,스포티지 2.0디젤 2WD 8AT 19인치 (빌트인캠),기아,경유,1998,13.9,2등급,137,15000,"1,474.20","1,590,863"
2022,"쏘렌토(19MY) 2.0디젤 2WD ISG 5인 (18"" 타이어)",기아,경유,1995,13.8,2등급,138,15000,"1,474.20","1,602,391"
2022,A7 50 TDI uattro,아우디,경유,2967,11.9,3등급,162,15000,"1,474.20","1,858,235"
2022,벤츠 GLE300 d 4Matic,벤츠,경유,1950,10.6,4등급,183,15000,"1,474.20","2,086,132"
2022,"투싼 개조차 2.0디젤 AWD (19""타이어)",현대,경유,1995,12.4,3등급,154,15000,"1,474.20","1,783,306"
2022,BMW X6 xDrive30d,BMW,경유,2993,10,4등급,194,15000,"1,474.20","2,211,300"
2022,포터 2.5디젤 4X4장축 표준캡(22),현대,경유,2497,9,5등급,217,15000,"1,474.20","2,457,000"
2022,GV80(22MY) 3.0디젤 2WD 7인 22인치 타이어,현대,경유,2996,11.2,4등급,173,15000,"1,474.20","1,974,375"
2022,"모하비(PE2) 3.0디젤 4WD 6인(20"" 타이어)",기아,경유,2959,9.3,5등급,211,15000,"1,474.20","2,377,741"
2022,"카니발(PE 20MY) 2.2디젤 2WD 11인승 (18"" 타이어)",기아,경유,2199,11.3,4등급,172,15000,"1,474.20","1,956,902"
2022,티볼리 1.6 디젤 2WD 6AT SCR 16인치 타이어,쌍용,경유,1597,15.2,2등급,124,15000,"1,474.20","1,454,802"
2022,모하비 3.0 디젤 4WD 6인 18인치타이어(22),기아,경유,2959,9.3,5등급,211,15000,"1,474.20","2,377,741"
2022,싼타페 2.0 디젤 2WD 5인 (19'' 타이어),현대,경유,1995,13.5,3등급,141,15000,"1,474.20","1,638,000"
2022,"투싼 개조차 1.6디젤 AWD (18""타이어)",현대,경유,1598,14.1,2등급,134,15000,"1,474.20","1,568,297"
2022,MINI Cooper D Clubman,BMW,경유,1995,14.1,2등급,134,15000,"1,474.20","1,568,297"
2022,"셀토스 1.6디젤 4WD 17"" 타이어 (21)",기아,경유,1598,14.8,2등급,127,15000,"1,474.20","1,494,121"
2022,Touareg 3.0 TDI,폭스바겐,경유,2967,10.3,4등급,188,15000,"1,474.20","2,146,893"
2022,스타리아 2.2디젤 2WD 11인 17인치 (빌트인캠),현대,경유,2199,10.8,4등급,179,15000,"1,474.20","2,047,500"
2022,BMW X6 xDrive40d,BMW,경유,2993,10.4,4등급,193,15000,"1,474.20","2,126,250"
2022,싼타페 2.2디젤 AWD 7인 20인치타이어,현대,경유,2151,12.8,3등급,149,15000,"1,474.20","1,727,578"
2022,MINI Cooper SD Countryman ALL4 RDE,MINI,경유,1995,12.6,3등급,151,15000,"1,474.20","1,755,000"
2022,투싼 2.0디젤 AWD 8AT 19인치 (빌트인캠)(22),현대,경유,1998,12.4,3등급,155,15000,"1,474.20","1,783,306"
2022,BMW 118d,BMW,경유,1995,15.3,2등급,128,15000,"1,474.20","1,445,294"
2022,투싼 2.0디젤 2WD 8AT 18인치,현대,경유,1998,14.3,2등급,133,15000,"1,474.20","1,546,363"
